0.000000	9.326980	Start
9.326980	13.738865	Loop 1
13.739000	18.113000	transition 1 - 2
18.112833	26.926330	Loop 2
26.926330	34.850267	Loop3
34.850000	36.007000	Transition 3 4
36.006697	44.970735	Loop 4
44.970735	49.385396	Loop 5
49.385000	62.323706	Transtion 5 6
62.323706	66.324894	Loop6
66.325000	72.265000	Transition 6 7
72.264450	76.083470	Loop 7
76.084000	120.219000	Transition 7 8
120.219146	125.294435	Loop 8
125.294000	131.764198	Transition 8 9
131.764198	139.523067	Loop 9
139.523000	143.793369	Transition 9 10
143.793369	144.227261	Loop 10
144.227000	152.800000	Final
